course_a,course_b,path_a,path_b,similarity,distance
91254,93478,data/courses/.files/2025/course-91254.yml,data/courses/.files/2025/course-93478.yml,0.89542876,0.10457124
40720,95631,data/courses/.files/2025/course-40720.yml,data/courses/.files/2025/course-95631-A.yml,0.89426946,0.10573054
88324,B0832,data/courses/.files/2025/course-88324.yml,data/courses/.files/2025/course-B0832.yml,0.89354418,0.10645582
29227,29227,data/courses/.files/2025/course-29227-C.yml,data/courses/.files/2025/course-29227-D.yml,0.88992103,0.11007897
79194,96793,data/courses/.files/2025/course-79194.yml,data/courses/.files/2025/course-96793.yml,0.88776451,0.11223549
91250,91250,data/courses/.files/2025/course-91250-A.yml,data/courses/.files/2025/course-91250-B.yml,0.88476239,0.11523761
91250,91250,data/courses/.files/2025/course-91250-A.yml,data/courses/.files/2025/course-91250-C.yml,0.88476239,0.11523761
07276,28040,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-28040.yml,0.88208541,0.11791459
85730,93322,data/courses/.files/2025/course-85730.yml,data/courses/.files/2025/course-93322.yml,0.88138260,0.11861740
93929,B5722,data/courses/.files/2025/course-93929.yml,data/courses/.files/2025/course-B5722.yml,0.87969203,0.12030797
93470,B5793,data/courses/.files/2025/course-93470-B.yml,data/courses/.files/2025/course-B5793.yml,0.87827527,0.12172473
99191,B3567,data/courses/.files/2025/course-99191.yml,data/courses/.files/2025/course-B3567.yml,0.86482016,0.13517984
48693,B5079,data/courses/.files/2025/course-48693-A.yml,data/courses/.files/2025/course-B5079.yml,0.86422527,0.13577473
29227,88145,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-88145.yml,0.86343210,0.13656790
29227,88145,data/courses/.files/2025/course-29227-B.yml,data/courses/.files/2025/course-88145.yml,0.86343210,0.13656790
00819,00819,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-00819-C.yml,0.86127995,0.13872005
28016,28722,data/courses/.files/2025/course-28016-B.yml,data/courses/.files/2025/course-28722.yml,0.86072588,0.13927412
85445,88566,data/courses/.files/2025/course-85445.yml,data/courses/.files/2025/course-88566.yml,0.86007006,0.13992994
90730,95782,data/courses/.files/2025/course-90730.yml,data/courses/.files/2025/course-95782.yml,0.85804668,0.14195332
00819,00819,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-00819-B.yml,0.85449045,0.14550955
07276,28040,data/courses/.files/2025/course-07276-F.yml,data/courses/.files/2025/course-28040.yml,0.85270750,0.14729250
66857,73149,data/courses/.files/2025/course-66857.yml,data/courses/.files/2025/course-73149.yml,0.85162586,0.14837414
28016,28722,data/courses/.files/2025/course-28016-A.yml,data/courses/.files/2025/course-28722.yml,0.84969208,0.15030792
58437,72778,data/courses/.files/2025/course-58437.yml,data/courses/.files/2025/course-72778.yml,0.84795765,0.15204235
88325,B0833,data/courses/.files/2025/course-88325.yml,data/courses/.files/2025/course-B0833.yml,0.84721411,0.15278589
87901,B6082,data/courses/.files/2025/course-87901.yml,data/courses/.files/2025/course-B6082.yml,0.84364325,0.15635675
15305,28623,data/courses/.files/2025/course-15305.yml,data/courses/.files/2025/course-28623.yml,0.84274793,0.15725207
09730,09730,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-09730-B.yml,0.84231370,0.15768630
10906,79194,data/courses/.files/2025/course-10906-A.yml,data/courses/.files/2025/course-79194.yml,0.83765459,0.16234541
09730,28623,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-28623.yml,0.83572880,0.16427120
81649,93392,data/courses/.files/2025/course-81649.yml,data/courses/.files/2025/course-93392.yml,0.83352064,0.16647936
B5722,B8378,data/courses/.files/2025/course-B5722.yml,data/courses/.files/2025/course-B8378.yml,0.82952359,0.17047641
35367,73110,data/courses/.files/2025/course-35367.yml,data/courses/.files/2025/course-73110.yml,0.82869398,0.17130602
B1703,B8105,data/courses/.files/2025/course-B1703.yml,data/courses/.files/2025/course-B8105.yml,0.82758960,0.17241040
41731,88566,data/courses/.files/2025/course-41731-B.yml,data/courses/.files/2025/course-88566.yml,0.82617112,0.17382888
29035,73731,data/courses/.files/2025/course-29035.yml,data/courses/.files/2025/course-73731.yml,0.82590115,0.17409885
35253,93322,data/courses/.files/2025/course-35253.yml,data/courses/.files/2025/course-93322.yml,0.82577989,0.17422011
75835,88566,data/courses/.files/2025/course-75835.yml,data/courses/.files/2025/course-88566.yml,0.82574621,0.17425379
09730,15305,data/courses/.files/2025/course-09730-B.yml,data/courses/.files/2025/course-15305.yml,0.82525017,0.17474983
B5793,B5812,data/courses/.files/2025/course-B5793.yml,data/courses/.files/2025/course-B5812.yml,0.82381580,0.17618420
70219,95648,data/courses/.files/2025/course-70219.yml,data/courses/.files/2025/course-95648.yml,0.82376026,0.17623974
93470,B5812,data/courses/.files/2025/course-93470-B.yml,data/courses/.files/2025/course-B5812.yml,0.82298964,0.17701036
79194,95611,data/courses/.files/2025/course-79194.yml,data/courses/.files/2025/course-95611.yml,0.82173851,0.17826149
41731,95605,data/courses/.files/2025/course-41731-B.yml,data/courses/.files/2025/course-95605.yml,0.81980829,0.18019171
85301,B5782,data/courses/.files/2025/course-85301.yml,data/courses/.files/2025/course-B5782.yml,0.81860951,0.18139049
70155,79194,data/courses/.files/2025/course-70155.yml,data/courses/.files/2025/course-79194.yml,0.81852297,0.18147703
98931,B5727,data/courses/.files/2025/course-98931.yml,data/courses/.files/2025/course-B5727.yml,0.81819011,0.18180989
35367,85733,data/courses/.files/2025/course-35367.yml,data/courses/.files/2025/course-85733.yml,0.81798452,0.18201548
75835,95605,data/courses/.files/2025/course-75835.yml,data/courses/.files/2025/course-95605.yml,0.81675112,0.18324888
91258,91258,data/courses/.files/2025/course-91258-B.yml,data/courses/.files/2025/course-91258-C.yml,0.81613690,0.18386310
11929,11929,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-11929-C.yml,0.81408437,0.18591563
35253,85730,data/courses/.files/2025/course-35253.yml,data/courses/.files/2025/course-85730.yml,0.81379637,0.18620363
09730,16692,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-16692.yml,0.81367098,0.18632902
07276,96346,data/courses/.files/2025/course-07276-F.yml,data/courses/.files/2025/course-96346-C.yml,0.81214677,0.18785323
11929,37635,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-37635.yml,0.81211569,0.18788431
28040,96346,data/courses/.files/2025/course-28040.yml,data/courses/.files/2025/course-96346-C.yml,0.81206630,0.18793370
10906,10906,data/courses/.files/2025/course-10906-A.yml,data/courses/.files/2025/course-10906-B.yml,0.81136947,0.18863053
15305,16692,data/courses/.files/2025/course-15305.yml,data/courses/.files/2025/course-16692.yml,0.80965758,0.19034242
91248,B5727,data/courses/.files/2025/course-91248.yml,data/courses/.files/2025/course-B5727.yml,0.80898466,0.19101534
41731,95645,data/courses/.files/2025/course-41731-A.yml,data/courses/.files/2025/course-95645.yml,0.80830227,0.19169773
00819,00819,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-00819-C.yml,0.80758558,0.19241442
15305,29227,data/courses/.files/2025/course-15305.yml,data/courses/.files/2025/course-29227-A.yml,0.80748327,0.19251673
15305,29227,data/courses/.files/2025/course-15305.yml,data/courses/.files/2025/course-29227-B.yml,0.80748327,0.19251673
07276,07276,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-07276-F.yml,0.80708052,0.19291948
11929,B5782,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-B5782.yml,0.80542223,0.19457777
70155,96793,data/courses/.files/2025/course-70155.yml,data/courses/.files/2025/course-96793.yml,0.80368764,0.19631236
27311,27311,data/courses/.files/2025/course-27311-A.yml,data/courses/.files/2025/course-27311-B.yml,0.80364287,0.19635713
37262,95602,data/courses/.files/2025/course-37262.yml,data/courses/.files/2025/course-95602.yml,0.80349429,0.19650571
95631,95631,data/courses/.files/2025/course-95631-A.yml,data/courses/.files/2025/course-95631-B.yml,0.80240272,0.19759728
29227,29227,data/courses/.files/2025/course-29227-D.yml,data/courses/.files/2025/course-29227-E.yml,0.80122814,0.19877186
28021,90106,data/courses/.files/2025/course-28021.yml,data/courses/.files/2025/course-90106-A.yml,0.80051506,0.19948494
09730,29227,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-29227-A.yml,0.79833858,0.20166142
09730,29227,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-29227-B.yml,0.79833858,0.20166142
07276,96346,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-96346-C.yml,0.79684473,0.20315527
10906,95611,data/courses/.files/2025/course-10906-B.yml,data/courses/.files/2025/course-95611.yml,0.79629841,0.20370159
87198,97467,data/courses/.files/2025/course-87198.yml,data/courses/.files/2025/course-97467.yml,0.79575900,0.20424100
28651,37063,data/courses/.files/2025/course-28651.yml,data/courses/.files/2025/course-37063.yml,0.79519880,0.20480120
10906,70155,data/courses/.files/2025/course-10906-A.yml,data/courses/.files/2025/course-70155.yml,0.79478423,0.20521577
28651,28724,data/courses/.files/2025/course-28651.yml,data/courses/.files/2025/course-28724.yml,0.79463658,0.20536342
B8396,B9254,data/courses/.files/2025/course-B8396.yml,data/courses/.files/2025/course-B9254.yml,0.79441321,0.20558679
95631,B2125,data/courses/.files/2025/course-95631-A.yml,data/courses/.files/2025/course-B2125.yml,0.79362346,0.20637654
85734,99192,data/courses/.files/2025/course-85734.yml,data/courses/.files/2025/course-99192.yml,0.79351038,0.20648962
88566,95605,data/courses/.files/2025/course-88566.yml,data/courses/.files/2025/course-95605.yml,0.79288115,0.20711885
81932,95630,data/courses/.files/2025/course-81932.yml,data/courses/.files/2025/course-95630.yml,0.79230521,0.20769479
95604,95644,data/courses/.files/2025/course-95604.yml,data/courses/.files/2025/course-95644.yml,0.79118737,0.20881263
91250,91250,data/courses/.files/2025/course-91250-B.yml,data/courses/.files/2025/course-91250-D.yml,0.79097771,0.20902229
91250,91250,data/courses/.files/2025/course-91250-C.yml,data/courses/.files/2025/course-91250-D.yml,0.79097771,0.20902229
28016,28651,data/courses/.files/2025/course-28016-B.yml,data/courses/.files/2025/course-28651.yml,0.79083816,0.20916184
35367,71148,data/courses/.files/2025/course-35367.yml,data/courses/.files/2025/course-71148.yml,0.78999300,0.21000700
16692,28623,data/courses/.files/2025/course-16692.yml,data/courses/.files/2025/course-28623.yml,0.78987239,0.21012761
57828,82202,data/courses/.files/2025/course-57828.yml,data/courses/.files/2025/course-82202-A.yml,0.78920164,0.21079836
00269,28651,data/courses/.files/2025/course-00269.yml,data/courses/.files/2025/course-28651.yml,0.78862323,0.21137677
28651,73092,data/courses/.files/2025/course-28651.yml,data/courses/.files/2025/course-73092.yml,0.78729722,0.21270278
00269,37063,data/courses/.files/2025/course-00269.yml,data/courses/.files/2025/course-37063.yml,0.78473757,0.21526243
