course_a,course_b,path_a,path_b,similarity,distance
69661,88145,data/courses/.files/2025/course-69661.yml,data/courses/.files/2025/course-88145.yml,0.50432146,0.49567854
84531,97466,data/courses/.files/2025/course-84531.yml,data/courses/.files/2025/course-97466.yml,0.50431686,0.49568314
75198,87474,data/courses/.files/2025/course-75198.yml,data/courses/.files/2025/course-87474.yml,0.50431225,0.49568775
87474,99195,data/courses/.files/2025/course-87474.yml,data/courses/.files/2025/course-99195.yml,0.50431127,0.49568873
85189,96994,data/courses/.files/2025/course-85189.yml,data/courses/.files/2025/course-96994.yml,0.50431004,0.49568996
93363,B8563,data/courses/.files/2025/course-93363.yml,data/courses/.files/2025/course-B8563.yml,0.50430448,0.49569552
08574-A,94442,data/courses/.files/2025/course-08574-A.yml,data/courses/.files/2025/course-94442.yml,0.50429950,0.49570050
91685,95782,data/courses/.files/2025/course-91685.yml,data/courses/.files/2025/course-95782.yml,0.50427561,0.49572439
28011-A,92858,data/courses/.files/2025/course-28011-A.yml,data/courses/.files/2025/course-92858.yml,0.50425603,0.49574397
15920,B1703,data/courses/.files/2025/course-15920.yml,data/courses/.files/2025/course-B1703.yml,0.50425422,0.49574578
28021,81940,data/courses/.files/2025/course-28021.yml,data/courses/.files/2025/course-81940.yml,0.50424995,0.49575005
16870,B4913,data/courses/.files/2025/course-16870.yml,data/courses/.files/2025/course-B4913.yml,0.50424453,0.49575547
11929-B,78779,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-78779.yml,0.50424449,0.49575551
81934,95631,data/courses/.files/2025/course-81934.yml,data/courses/.files/2025/course-95631.yml,0.50423757,0.49576243
70226,81940,data/courses/.files/2025/course-70226.yml,data/courses/.files/2025/course-81940.yml,0.50423245,0.49576755
93468,94442,data/courses/.files/2025/course-93468.yml,data/courses/.files/2025/course-94442.yml,0.50421447,0.49578553
81683,B1874,data/courses/.files/2025/course-81683.yml,data/courses/.files/2025/course-B1874.yml,0.50421279,0.49578721
48693,B1873,data/courses/.files/2025/course-48693.yml,data/courses/.files/2025/course-B1873.yml,0.50421184,0.49578816
82202,93034-A,data/courses/.files/2025/course-82202.yml,data/courses/.files/2025/course-93034-A.yml,0.50420936,0.49579064
28040,91250-B,data/courses/.files/2025/course-28040.yml,data/courses/.files/2025/course-91250-B.yml,0.50420121,0.49579879
69731,91411,data/courses/.files/2025/course-69731.yml,data/courses/.files/2025/course-91411.yml,0.50419852,0.49580148
94442,B8905,data/courses/.files/2025/course-94442.yml,data/courses/.files/2025/course-B8905.yml,0.50419113,0.49580887
85446,B5722,data/courses/.files/2025/course-85446.yml,data/courses/.files/2025/course-B5722.yml,0.50418995,0.49581005
72671,93034-A,data/courses/.files/2025/course-72671.yml,data/courses/.files/2025/course-93034-A.yml,0.50418918,0.49581082
48693,91266,data/courses/.files/2025/course-48693.yml,data/courses/.files/2025/course-91266.yml,0.50418560,0.49581440
72787,95645,data/courses/.files/2025/course-72787.yml,data/courses/.files/2025/course-95645.yml,0.50416618,0.49583382
11929-A,85728,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-85728.yml,0.50416257,0.49583743
85728,88145,data/courses/.files/2025/course-85728.yml,data/courses/.files/2025/course-88145.yml,0.50416073,0.49583927
11933,79194,data/courses/.files/2025/course-11933.yml,data/courses/.files/2025/course-79194.yml,0.50415717,0.49584283
47240,99195,data/courses/.files/2025/course-47240.yml,data/courses/.files/2025/course-99195.yml,0.50415554,0.49584446
39176,93478,data/courses/.files/2025/course-39176.yml,data/courses/.files/2025/course-93478.yml,0.50414575,0.49585425
72938,90074,data/courses/.files/2025/course-72938.yml,data/courses/.files/2025/course-90074.yml,0.50414194,0.49585806
41169,81610,data/courses/.files/2025/course-41169.yml,data/courses/.files/2025/course-81610.yml,0.50413568,0.49586432
41169,88202,data/courses/.files/2025/course-41169.yml,data/courses/.files/2025/course-88202.yml,0.50413568,0.49586432
93319,B8905,data/courses/.files/2025/course-93319.yml,data/courses/.files/2025/course-B8905.yml,0.50413046,0.49586954
81917,B5727,data/courses/.files/2025/course-81917.yml,data/courses/.files/2025/course-B5727.yml,0.50412652,0.49587348
85445,96142,data/courses/.files/2025/course-85445.yml,data/courses/.files/2025/course-96142.yml,0.50410761,0.49589239
37635,96995,data/courses/.files/2025/course-37635.yml,data/courses/.files/2025/course-96995.yml,0.50409940,0.49590060
28106,98671,data/courses/.files/2025/course-28106.yml,data/courses/.files/2025/course-98671.yml,0.50409037,0.49590963
84531,92858,data/courses/.files/2025/course-84531.yml,data/courses/.files/2025/course-92858.yml,0.50406306,0.49593694
