course_id,course_path,course_sha256,course_title,cluster,cluster_name,is_noise,similarity_to_medoid
00269,data/courses/.files/2025/course-00269.yml,578fd8bc0969457a454d8b4df5f395e8bf07c97849f91ccb926a4c31dc1ca960,Electronics,12,Electronics T-A Automation (12),False,0.78862323
00819-A,data/courses/.files/2025/course-00819-A.yml,13e405ef56444219af801409e0d16918ec48349a1311e444338dfc76fbcd3ff4,Programming,20,Computer Programming Architectures (20),False,0.77961550
00819-B,data/courses/.files/2025/course-00819-B.yml,06549817bae81d4fa5bbec67f4ce44012f41c3d8772a296605b5b3ea149a5fec,Programming,6,Informatics Principles Foundations (6),False,0.76978548
00819-C,data/courses/.files/2025/course-00819-C.yml,10ff36ac9cce7617b853a7df17827284fa3f580caf2ebe3354afb727cdf5b0b9,Programming,1,Computer Science Theoretical (1),False,0.62536951
00819-D,data/courses/.files/2025/course-00819-D.yml,cbad7433ec4d3e0f16bf542478bf0a50b23c6dddd4c3a2185db18b23697e8f93,Programming,18,Programming Software Design (18),False,0.73819019
00819-E,data/courses/.files/2025/course-00819-E.yml,b658282ddef7c327033da32646e04b4a810bcbbd9ac672a93b93a3814c54396a,Programming,20,Computer Programming Architectures (20),False,0.74778380
03716-A,data/courses/.files/2025/course-03716-A.yml,0d417300da58c806aff22c03da01392249e7c30ecf63aa34d6f995f68e31a2ac,Digital Design Principles and Computer Architecture,24,Design Architectures Firmware (24),False,0.68429844
03716-B,data/courses/.files/2025/course-03716-B.yml,9db98b9345355c976cf6d523beb180bd94247a13fcac1c7e369ba12a62193fd0,Digital Design Principles and Computer Architecture,24,Design Architectures Firmware (24),False,0.68429844
04138,data/courses/.files/2025/course-04138.yml,fc9eb7f70a7132894e0eda497d9e35070a71c49964b76b52ecc4f2cced2de80d,Programming Languages,25,Language Natural Processing (25),False,0.57824797
07276-A,data/courses/.files/2025/course-07276-A.yml,3ce60841d634f14712e0f5da21c82500b448058946e3d09c2f6659992eb719ea,Computer Science,6,Informatics Principles Foundations (6),False,0.65896925
07276-B,data/courses/.files/2025/course-07276-B.yml,b8ac3993440f138213543ee7f1f3316b286209c06f795eb042c401cda4e6c876,Computer Science,20,Computer Programming Architectures (20),False,0.78411362
07276-C,data/courses/.files/2025/course-07276-C.yml,5713e62e0320a8bac8679530cc2b0849e2fc4edf158409b44fbcc8a175e60dcc,Computer Science,4,Informatics Basic Laboratory (4),False,0.67053008
07276-D,data/courses/.files/2025/course-07276-D.yml,cad3e082b13fdaf2877e92cda37049281cbdbde8e569e76a0522763ba0c5cc5d,Computer Science,6,Informatics Principles Foundations (6),False,0.62789472
07276-E,data/courses/.files/2025/course-07276-E.yml,5d2b1d152351b566fea78cbe8ceb45bd7d3ad9872abc2237706d99b1871d5d32,INFORMATICA,6,Informatics Principles Foundations (6),False,0.68394330
07276-F,data/courses/.files/2025/course-07276-F.yml,ae443bede7d3adaa5338d86215d47e7efb4a5656d343f70be7b32741f9f380dd,INFORMATICA,20,Computer Programming Architectures (20),False,0.69062770
08574-A,data/courses/.files/2025/course-08574-A.yml,81e910051a96faceb344aba0ffd069f66da730a069335be15f75963e52a0f5d0,Operating Systems,24,Design Architectures Firmware (24),False,0.64864416
08574-B,data/courses/.files/2025/course-08574-B.yml,30dba4fd10b6372c6752bd3ebd5e761b606750099ef5e1a6cbf63c83976ed44b,Operating Systems,24,Design Architectures Firmware (24),False,0.65963426
08574-C,data/courses/.files/2025/course-08574-C.yml,6830708f38d2a713b1cc885f423473799c746067b0c909b0dd0846b5c5843e35,Operating Systems,6,Informatics Principles Foundations (6),False,0.67827796
09032,data/courses/.files/2025/course-09032.yml,613750938aa36a5099ef99fb0da28fac762286b8ba90091b073039e94e6f1fc3,Software Engineering,10,Engineering Software (10),False,0.78123331
09679,data/courses/.files/2025/course-09679.yml,95c10ba2cc4df0be63bf953f6c9fb06d4bd40d24c58670cb38d6a14ecb0f6ddf,Data Base Sistems,5,Databases Bases Data (5),False,0.73675467
09730-A,data/courses/.files/2025/course-09730-A.yml,e44c1fbba35542854ab10fe484bba8664fafbb5559c1576f45026a975c91af34,Principles of Informatics,6,Informatics Principles Foundations (6),False,0.98293646
09730-B,data/courses/.files/2025/course-09730-B.yml,085ce85eb0160ad0c3f0c2ed054060255441d933d5fcd666eb13340774b2abc5,Principles of Informatics,6,Informatics Principles Foundations (6),False,0.82525017
10906-A,data/courses/.files/2025/course-10906-A.yml,8c33889838626fa0c7b842f1ec52c254cb734b4d3b8fdb2dcaf746c994a15d16,Databases,5,Databases Bases Data (5),False,0.79478423
10906-B,data/courses/.files/2025/course-10906-B.yml,5dd1049ac2965fea15601ee875798d420a7de2dc7eddec398e874a07d2fd5f7c,Databases,5,Databases Bases Data (5),False,0.72390730
10907,data/courses/.files/2025/course-10907.yml,1ff2626f3904bb500d0672c4b85e4cac56b3f258bc33022c6933f006834c536b,Electronics of Digital Systems,13,Systems Embedded Internet (13),False,0.70712628
11340,data/courses/.files/2025/course-11340.yml,1b639627efbeff3092d838cf94be61aaa67849b221f7e5bd02c23af4ba66480a,INFORMATICA APPLICATA,4,Informatics Basic Laboratory (4),False,0.67325791
11925,data/courses/.files/2025/course-11925.yml,f8ad8a7275e077f8f1d1c173e1d503479ab380483e7055fa9882dadf5877102f,Computer Architecture,6,Informatics Principles Foundations (6),False,0.71484103
11929-A,data/courses/.files/2025/course-11929-A.yml,a70ce543a25b7ebb93d8a357bef2bf38be44bd35d065fe1302a1415c09326b12,Algorithm and Data Structures,11,Data Algorithms Structures (11),False,0.81408437
11929-B,data/courses/.files/2025/course-11929-B.yml,4003fcdf0ab5e69dc484ab36a4764c6756a95d0f8d28e75ca276beb0313466ef,Algorithms and Data Structures,11,Data Algorithms Structures (11),False,0.76210378
11929-C,data/courses/.files/2025/course-11929-C.yml,1ea50fa25a0b57c833f787e57e30a92cf18f81b0a83ea90d57f1f9f9edf28648,Algorithms and Data Structures,11,Data Algorithms Structures (11),False,1.00000000
11929-D,data/courses/.files/2025/course-11929-D.yml,da0aa4b742d6cfedfea87983650c4c3b148314584f65d8695e956dce4104b678,Algorithms and Data Structures,11,Data Algorithms Structures (11),False,0.77488825
11933,data/courses/.files/2025/course-11933.yml,4e56982437da9a097ff732ebb7c779cfe722159e3d7abd1fc0eb967784f1152c,Theoretical Computer Science,1,Computer Science Theoretical (1),False,0.92557886
14015,data/courses/.files/2025/course-14015.yml,e466b07e66704090a5aa79c65873b09ee057c1d9666459149f36ae399e397f04,Cryptography,16,Security Information Computer (16),False,0.67884282
15305,data/courses/.files/2025/course-15305.yml,afee12cce2f7dba06befef737815784032dc4eccaaf840f18793f93384739500,Foundations of Informatics A,6,Informatics Principles Foundations (6),False,1.00000000
15920,data/courses/.files/2025/course-15920.yml,d9a17b6a8ae12f36e0b82f2dd04abec710ebf2d5ae85b879fdac0b567c0ddc4d,Computer Lab,4,Informatics Basic Laboratory (4),False,0.64255835
16692,data/courses/.files/2025/course-16692.yml,436c6f5995b0b62f8017cda58d89f4e9414690de1843075f7820290919d88058,Laboratory of Informatics,6,Informatics Principles Foundations (6),False,0.80965758
16870,data/courses/.files/2025/course-16870.yml,af2565c4dcfb5c5bb5347ace38cdf87a91affaf2193ea66a542c7359cac1296f,Programming Laboratory,18,Programming Software Design (18),False,0.70647359
17628,data/courses/.files/2025/course-17628.yml,46a0036114ef1e8a58a36d6e4b761615da604d903790f8415da8d45256afd12e,Concurrent and Distributed Programming,17,Systems Distributed Mobile (17),False,0.66486998
