course_id,course_path,course_sha256,course_title,cluster,cluster_name,is_noise,similarity_to_medoid
17634,data/courses/.files/2025/course-17634.yml,4b00356fc64098754a5c6028278e72b2623e7ca6de0b4dd2d83cb0edceac6b54,Computer Vision,8,Computer Vision Image (8),False,0.73966011
20741,data/courses/.files/2025/course-20741.yml,c7de8a96752d5fefa1dc8c417beea2f9e66b3b87cda726a546466b44c5fb9024,Information Processing Systems,4,Informatics Basic Laboratory (4),False,0.67495345
27311-A,data/courses/.files/2025/course-27311-A.yml,ffdd168ef4429db7297c862feb6e41fb2a9cbe36a3daabf11966315902c631c6,Humanistic IT,0,Basic Informatics Skills (0),False,0.53988448
27311-B,data/courses/.files/2025/course-27311-B.yml,18bde471086022eb339bc474e7c5c62b3652dc0dfdcf79f65b466e234ec3fc0c,Humanistic IT,0,Basic Informatics Skills (0),False,0.60231563
28004-A,data/courses/.files/2025/course-28004-A.yml,86281e15ee4d61b1a0d6da9b664108ddcebeddd25eedc43f42b0878019c57cfc,Foundations of Informatics T-1,6,Informatics Principles Foundations (6),False,0.72959821
28004-B,data/courses/.files/2025/course-28004-B.yml,8d8098e2bbd1385c58b6e7bce639d40f221506c91e42b3211c29fbfb1b8c5ae2,Foundations of Informatics T-1,6,Informatics Principles Foundations (6),False,0.73504355
28011-A,data/courses/.files/2025/course-28011-A.yml,0e144c3194ba335f48d712a97dfeccbdb3569aaad6fe00f8dabdab389be2b775,Logic Design T,6,Informatics Principles Foundations (6),False,0.63669323
28011-B,data/courses/.files/2025/course-28011-B.yml,2ebd5c8e60bfa42c7ebe7c079f19ee996aa81a52a03aa058ee8c8a9e483f7e2b,Logic Design T,1,Computer Science Theoretical (1),False,0.59684186
28011-C,data/courses/.files/2025/course-28011-C.yml,820e6fb3fdfa2fe0f47a421700f43906759cae018c7d5ca59936c24472a78808,RETI LOGICHE T,17,Systems Distributed Mobile (17),False,0.51444723
28012-A,data/courses/.files/2025/course-28012-A.yml,d03dc5ffdaef6da47e070e09593f99d1ba0d5f6641a95a34d4c1a643fe65053c,Electronic Calculators T,3,Systems Digital Architectures (3),False,0.60561149
28012-B,data/courses/.files/2025/course-28012-B.yml,82ad61ebde8062b527dd80f882521196f2ca8154fb5a2bae25cd6f52192db4e0,Electronic Calculators T,6,Informatics Principles Foundations (6),False,0.61319394
28016-A,data/courses/.files/2025/course-28016-A.yml,a229a4b6254482953b8d57a7f1864c3fcb353f1eca8d90a9ea4a2e0330e9cd6b,Electronics T,12,Electronics T-A Automation (12),False,0.77333905
28016-B,data/courses/.files/2025/course-28016-B.yml,ef346d94a31fd7cba4c3ad41c27048ec7bd5b8874ca81c82d4a445bb268d9415,Electronics T,12,Electronics T-A Automation (12),False,0.79083816
28016-C,data/courses/.files/2025/course-28016-C.yml,a26658cfc6f9d9f6c178c4029a609745dcaff20bc0e0c131416308d00893c336,Electronics T,12,Electronics T-A Automation (12),False,0.73173916
28020-A,data/courses/.files/2025/course-28020-A.yml,477582fdce7545b165dce4774e5ae2e4a747540df946c2f70521d3e784d1bcbd,Operating Systems T,24,Design Architectures Firmware (24),False,0.61089820
28020-B,data/courses/.files/2025/course-28020-B.yml,308cd68de33ed3cc121e6541a11a47abb86c1c30ab3e4a983bb4de6884289d90,Operating Systems T,24,Design Architectures Firmware (24),False,0.61089820
28021,data/courses/.files/2025/course-28021.yml,ac6426407cc0137d8a562824e9f1115381d088bcade322e5879fee78ec4cfeb4,Software Engineering T,10,Engineering Software (10),False,0.80051506
28024-A,data/courses/.files/2025/course-28024-A.yml,4a988631d4135e2debe87386eaee26229fbe9ac985122369e5849b4b5ca4edb4,Computer Networks T,2,Networks Computer Network (2),False,0.73838784
28024-B,data/courses/.files/2025/course-28024-B.yml,4a8e28767aa4bfd76a34912d1a933a45bc0923e1e52bf83607ec383f91d881e6,Computer Networks T,2,Networks Computer Network (2),False,0.73838784
28027,data/courses/.files/2025/course-28027.yml,ddf864ba2742c56259d57239cc1c72b5050ff352f7b8b577bbd206c768b6e7bc,Information Systems T,5,Databases Bases Data (5),False,0.69531154
28040,data/courses/.files/2025/course-28040.yml,941b5b12ceeaca8c12af35504327c9a4601449e41af80586a39e8bb433a01212,Information Technology,20,Computer Programming Architectures (20),False,0.69288402
28106,data/courses/.files/2025/course-28106.yml,7726a647e690d8e12b8563a8461657206e9f567e06693959bcab07ba1971534c,Computer Science for Environmental Sciences,4,Informatics Basic Laboratory (4),False,0.65397722
28623,data/courses/.files/2025/course-28623.yml,19e9e5698b0bcb4f57e9cfdc3f7594ecabb37535b883e7041b72a14c9bb0d5a8,Foundations of Informatics and Laboratory,1,Computer Science Theoretical (1),False,0.67623355
28651,data/courses/.files/2025/course-28651.yml,2c89a8d7e7d9229e881d05f9f37c1f1b411d1a0a3281b5fefa649a40dcac970d,Electronics T-A,12,Electronics T-A Automation (12),False,1.00000000
28652,data/courses/.files/2025/course-28652.yml,996557069895fea05eb56c9a13010799afa16fb85c66a7fa7d26d81f2d9bc461,IT Systems T-1,5,Databases Bases Data (5),False,0.69676219
28659-A,data/courses/.files/2025/course-28659-A.yml,1357fcdf6a229b2d108fad9f4c39df2b45ca99b12e2f2620aefda80cbe834995,Web Technologies T,15,Web Technologies Web-Related (15),False,0.69651496
28659-B,data/courses/.files/2025/course-28659-B.yml,b7f7dda729514858c37f73affa468f7c9b9615af5a4e09d7433a85b08fd50938,Web Technologies T,15,Web Technologies Web-Related (15),False,0.69651496
28722,data/courses/.files/2025/course-28722.yml,1a552c2745aac017005ab429549d97dbd4bbeb7c9b75358aca706ed132acafa9,Electronics T-1,12,Electronics T-A Automation (12),False,0.71241358
28724,data/courses/.files/2025/course-28724.yml,6577fcf293d5397f5771bfdd98cfe41b2abb6de0fc30b031ebc700b7893666d8,Electronics T-2,12,Electronics T-A Automation (12),False,0.79463658
28796,data/courses/.files/2025/course-28796.yml,edc03def61ded3accffb065c5cb19f9d701b61982d625804e5ebd1bc0593268a,Elements of Databases,5,Databases Bases Data (5),False,0.77499167
29035,data/courses/.files/2025/course-29035.yml,ffe994c3fb0f9b96f78a0bffba44037161b6586d5fe9c2f6296883869bc99fb9,Electronic Industrial Systems Architecture and Programming Laboratory T-A,13,Systems Embedded Internet (13),False,0.67460409
29227-A,data/courses/.files/2025/course-29227-A.yml,cc894e95a80ea5672bb927b1d0fdd9815597b703146c994881bc6f61ee341d4b,Foundations of Informatics T,6,Informatics Principles Foundations (6),False,0.80748327
29227-B,data/courses/.files/2025/course-29227-B.yml,d33b55b1971fa75e8c9c497d271791750b71b9ad8779237bafc12ee849a688af,Foundations of Informatics T,6,Informatics Principles Foundations (6),False,0.80748327
29227-C,data/courses/.files/2025/course-29227-C.yml,d6a326ab02aad7b8e6aab9d5102610cf529f920f8c161966a215e94667eedfdd,Foundations of Informatics T,6,Informatics Principles Foundations (6),False,0.74951322
29227-D,data/courses/.files/2025/course-29227-D.yml,026d4838a6890b456fc84d6099073ffa361f169acb1796425e4bc316b4281d86,Foundations of Informatics T,6,Informatics Principles Foundations (6),False,0.73407590
29227-E,data/courses/.files/2025/course-29227-E.yml,fc8c018328188c6c283ee3c8477f541d2eb325858fefa0f3555fbef96a075d1b,Foundations of Informatics T,6,Informatics Principles Foundations (6),False,0.75090411
30376,data/courses/.files/2025/course-30376.yml,4aeedf7a3b1479169b0561ded4b5fd5067f8f5d9c4dbb9b753396e4ef1dbf421,Business Intelligence,26,Data Mining Learning (26),False,0.63824375
34876,data/courses/.files/2025/course-34876.yml,9f5581eeae6babc5ac8c7b05065ec1274a807a0cb7d42c2dc5361d241403832d,Digital Systems Electronics M,3,Systems Digital Architectures (3),False,1.00000000
34991,data/courses/.files/2025/course-34991.yml,e2b085f110c53decad2dc299f4695d12a5af9c59e7811bf62ef75a11ae46629d,Project in electronics and telecommunications,21,Artificial Intelligence Fundamentals (21),False,0.61053780
35148,data/courses/.files/2025/course-35148.yml,7b17498418a57d50c40a0eeb8e42f6f33b536a25271995f59224d4fdaf2f1b48,Electronics for analogic signal processing,12,Electronics T-A Automation (12),False,0.67736245
35253,data/courses/.files/2025/course-35253.yml,710415fb7f2303b26244d8c029f4ff814b6547579fd555644edf0cc5ee32cef5,Hardware – Software Design Methods M,24,Design Architectures Firmware (24),False,0.81379637
35364,data/courses/.files/2025/course-35364.yml,7190832e24a875a9a4b6607c5557e7965065ba35d3072517dffdb296dd95a0b1,Digital Architectures for Signal Processing M,3,Systems Digital Architectures (3),False,0.60695326
35367,data/courses/.files/2025/course-35367.yml,04ebdbff2dc112342340b01c03fab69fcbca5cd6aeaed5eec9c4a8a577040037,Industrial Electronics M,9,Electronic Electronics Systems (9),False,0.72247854
35424,data/courses/.files/2025/course-35424.yml,39225d85bb768a317593d65f8564f29c8196152e566ceb5bb7307ccab0f4ffad,Time-Frequency and Multirate Signal Processing M,12,Electronics T-A Automation (12),False,0.53549977
37063,data/courses/.files/2025/course-37063.yml,fd5a9a05ac88aaffc610b6ae89785d5bb9387f47ad54debe12c3c323f4302bd0,Principles of Electronics for Automation T,12,Electronics T-A Automation (12),False,0.79519880
37085,data/courses/.files/2025/course-37085.yml,d8b84d276c63528712ccaf29b17e20117e761c11df0fc8aaadd1d6c7f591ad29,"Principles, Models and Applications for Distributed Systems M",17,Systems Distributed Mobile (17),False,0.67313433
37262,data/courses/.files/2025/course-37262.yml,b1423b96cece6b14430914581aefc16742c45fd46f6f91e31b0d310783b35a78,Computer Programming,20,Computer Programming Architectures (20),False,1.00000000
37635,data/courses/.files/2025/course-37635.yml,ce6e5354401b3fef6ecdf93e556a2071ca49a8eddf39de9130d51cc8a51973f1,Data Structure and Algorithms,11,Data Algorithms Structures (11),False,0.99683382
37760,data/courses/.files/2025/course-37760.yml,2df833ef321750621391d744558b33cf3fa98a06d89df531e2921ce3f9fa503f,Systems Simulation,1,Computer Science Theoretical (1),False,0.59077444
37925,data/courses/.files/2025/course-37925.yml,ff2d06acb9d1d83dec27f3d31bc09d71f773ea60aa6ea7f04b531e7e3a3018e3,Virtual System Design,13,Systems Embedded Internet (13),False,0.57975136
39176-A,data/courses/.files/2025/course-39176-A.yml,37a2677947384dde77ed209804fd92dcbcd1c27e7ae4a9173efa949bba88f0e2,Basic and Laboratory Informatics,4,Informatics Basic Laboratory (4),False,0.95164958
39176-B,data/courses/.files/2025/course-39176-B.yml,89d1566cb586bab670da0a767f9ea9a5fea9c6d110cad23d9c9c4b4ec96f6812,Basic and Laboratory Informatics,4,Informatics Basic Laboratory (4),False,0.95164958
40720,data/courses/.files/2025/course-40720.yml,68a133e70b8c3d1b2889bbcbc46e11e56acb99824aaad931e417a0842cfbfbeb,Data Mining,26,Data Mining Learning (26),False,1.00000000
41169,data/courses/.files/2025/course-41169.yml,a67a70ba91c456e7893073f6f9053badd02ed11f4d373e4c023e019b3312ccd7,Theoretical Computer Science,1,Computer Science Theoretical (1),False,1.00000000
41588,data/courses/.files/2025/course-41588.yml,048f1c37879407270a40d2093b6e4a19449877569b4f5bbefbb1f6ba88f916dd,INTRODUZIONE ALL'ANALISI DEI DATI,20,Computer Programming Architectures (20),False,0.62578029
41731-A,data/courses/.files/2025/course-41731-A.yml,0fba7bdce72e689abe7a39ebf792904dc06db3402f90198122a65e94c5350012,Web-related Technologies,15,Web Technologies Web-Related (15),False,0.75405944
41731-B,data/courses/.files/2025/course-41731-B.yml,56eaac44876b11a5cc3dfda092908772ec66f343be74279d09e66cbaf1d5b130,Web-related Technologies,15,Web Technologies Web-Related (15),False,1.00000000
42500,data/courses/.files/2025/course-42500.yml,9a6df0584abfdd1fa9b2a5404e4f34a01e580e4293db215390b6a3c5230002c3,Semantic Web,4,Informatics Basic Laboratory (4),False,0.59888284
47240,data/courses/.files/2025/course-47240.yml,2187226cf29cd85ab3bc43dad08f92c5dad9b2bf551ebd5cdf4d2a7096752004,Web Systems Engineering,15,Web Technologies Web-Related (15),False,0.69098545
48693-A,data/courses/.files/2025/course-48693-A.yml,32b1a3443298032aa81a84e1c71ba203e309942fc7d37513c13e8f47c45e5400,Computer Science for Cultural Heritage,22,Cultural Heritage Computer (22),False,1.00000000
48693-B,data/courses/.files/2025/course-48693-B.yml,6604d4f2227325990a1a2062f4d7560235a3ddadabb5ca8beb6c7ac793f207f6,Computer Science for Cultural Heritage,22,Cultural Heritage Computer (22),False,0.68106489
57828,data/courses/.files/2025/course-57828.yml,74c37044a4fc1228c6223b4866a264316e74682479216d8d84d8c29c773242ed,Informatics,4,Informatics Basic Laboratory (4),False,0.77575794
58348,data/courses/.files/2025/course-58348.yml,2c54b26001c10a542e6834b1fd117f5fa90ad2373bc415906abdb8adfa8c4d2e,Lab-based Course on Operating Systems,2,Networks Computer Network (2),False,0.54952325
58423,data/courses/.files/2025/course-58423.yml,61747e4bbf963f4e6e0549a13dc3f82edf72711fcead00bb723309113a67d07a,Internet Architecture,2,Networks Computer Network (2),False,0.69357524
58437,data/courses/.files/2025/course-58437.yml,c3ee8b8105e34f3a0f5ea8cbe683c1912a79fbb40d054852a4f0c6c1ed99422f,Parallel Calculus,1,Computer Science Theoretical (1),False,0.67244059
60348,data/courses/.files/2025/course-60348.yml,58ce8de4139b8e94d7e885a30d3c0e8b10de2924a325f2cea4146c4a5d9d97ea,Informatics,6,Informatics Principles Foundations (6),False,0.71171394
65094,data/courses/.files/2025/course-65094.yml,00080eed54daa5341e22a2629a6f3d5a43a9f9e206dcf62d9b1f0567a228189d,ADVANCED PROGRAMMING,20,Computer Programming Architectures (20),False,0.75670843
66857,data/courses/.files/2025/course-66857.yml,5a19a58b816a0884790b5c84d85542a9a8163af9cd38db42632a3db0b8dd1421,Logic for Computer Science,25,Language Natural Processing (25),False,0.53288692
66858,data/courses/.files/2025/course-66858.yml,5dea9401585ff16a5d8c3b2f1a584dd96df97ce9339244e0d4e88305827d82c4,Software Engineering,10,Engineering Software (10),False,0.96408215
66860,data/courses/.files/2025/course-66860.yml,c493f345b72c95f5f3b6f7d21467561b89c4e0096ad637bda433cac8e3fd5d38,Mobile Applications Laboratory,18,Programming Software Design (18),False,0.52523486
66870,data/courses/.files/2025/course-66870.yml,93ef621063236d4648e4405c62b0b25016e078c4318a2883db980a3e7b036020,Concurrent Models and Systems,17,Systems Distributed Mobile (17),False,0.54826630
69259,data/courses/.files/2025/course-69259.yml,1effefc093148edb6e2f55e98f7b48c817eb58e3ae19442c3775d8c988f021e4,Computer Science,21,Artificial Intelligence Fundamentals (21),False,0.56495916
69430,data/courses/.files/2025/course-69430.yml,73e200fe60b5802d63c01ade79be4dc5022eefb9cd75f5e631669391ad7951a5,COMPUTER ARCHITECTURES M,24,Design Architectures Firmware (24),False,0.73667435
69437,data/courses/.files/2025/course-69437.yml,22abbd59414ed2a6637dce980c8f8078eb7deae3b0e0f4e69ea7635546e2778f,NANOELECTRONICS M,12,Electronics T-A Automation (12),False,0.63433926
69661,data/courses/.files/2025/course-69661.yml,e7b4fa3a6b724bac8cfa55ae05a4ca0b3aa6ae89d5879e3a45a4eee61e006d6d,Image Processing And Computer Vision M,8,Computer Vision Image (8),False,0.74957581
69731-A,data/courses/.files/2025/course-69731-A.yml,d3887487efbc4549129fa38974f9bec00b5c9fa4239cc7f17c79f8e17c0ae9d0,Computer Architecture,6,Informatics Principles Foundations (6),False,0.69185265
69731-B,data/courses/.files/2025/course-69731-B.yml,bce2a5397fd3fc3213fe1b71e72472a9263c907c3c4b0a86e30ad7e3277412f8,Computer Architecture,6,Informatics Principles Foundations (6),False,0.69035782
69773,data/courses/.files/2025/course-69773.yml,67b395281a144cd5f6735f6098bb851c738ccc4bb8b8e1994b8373e9464ff4d8,Electronic Circuits Design,9,Electronic Electronics Systems (9),False,0.76039956
69867,data/courses/.files/2025/course-69867.yml,2a6e8cdebf0f0417f0fb999f2e1cce07f8695483e8f200931b128bb72feb9bcb,Web Services and Applications,15,Web Technologies Web-Related (15),False,0.71220334
70155,data/courses/.files/2025/course-70155.yml,c1e94cc9b11f0c5cf66e50746ef7ed66006c8de482d00d6b3d72e2516aa119eb,Data Bases,5,Databases Bases Data (5),False,1.00000000
70210,data/courses/.files/2025/course-70210.yml,897da2acc81f1c671a38797eb04079f8f33db85cfde10cec3099680dadf5563d,Lab-based Course on Computer Graphics,6,Informatics Principles Foundations (6),False,0.57356356
70219,data/courses/.files/2025/course-70219.yml,6111afe5d596718ac21401260344ae0405c5e677cbfad17e7e9104b806fa17a8,Object-Oriented Programming,18,Programming Software Design (18),False,0.82376026
70226,data/courses/.files/2025/course-70226.yml,2d7a8cc78f1a1ac8a4b9325bef67093857f1135a9fe0e3c4d0a2e10a6bad7ac1,Network Programming,2,Networks Computer Network (2),False,0.74893966
71148,data/courses/.files/2025/course-71148.yml,fe2f6628c97ce445f7d9b23aebabcfb1e5ad1291eeffa4099024ada31ee8ad96,Electronics For Automation T,9,Electronic Electronics Systems (9),False,0.72263084
72671,data/courses/.files/2025/course-72671.yml,12b3620576a499eed19e874839375b15eeeff65275319e969621330c3a238731,Complements of Programming Languages,25,Language Natural Processing (25),False,0.56102585
72778,data/courses/.files/2025/course-72778.yml,57aef0348bcdc02a6acf10c2f6550c48b0c344b563ea7b46795538a6e1b357fc,High-Performance Computing,1,Computer Science Theoretical (1),False,0.68680161
72787,data/courses/.files/2025/course-72787.yml,c7a07e534935be4e698cd212cdc585bf1d6c83f08aca9c4720822ddfe7e09510,Mobile Application Programming,13,Systems Embedded Internet (13),False,0.52978913
72796,data/courses/.files/2025/course-72796.yml,eb509e33581404c34ad8cc50ab20619156cf1da3a53d804857112317249ff1fd,Data Intensive Applications,0,Basic Informatics Skills (0),False,0.64357588
72938,data/courses/.files/2025/course-72938.yml,1402cf3205b54995ce8b5cea9bc6b0ca7e3e6df0a1f1285ff8a1148488de6aea,Foundations Of Artificial Intelligence T,25,Language Natural Processing (25),False,0.61187382
72939,data/courses/.files/2025/course-72939.yml,ca22dd3c9a3f7c08c86601ddb1344f62bb6ce1e80909ab970a9613c404b8bd0a,Software Systems Engineering M,10,Engineering Software (10),False,0.65568757
72940,data/courses/.files/2025/course-72940.yml,d0f1c139ab82d86034ffa6057701360edd0b870c9e5d558d47b7d8112ce1a58e,Computational Models And Languages M,25,Language Natural Processing (25),False,0.67964851
72942,data/courses/.files/2025/course-72942.yml,4b5769e8e84a47d4c2df4424b1294c2cc3da4d75624f4a4588219836f671ef82,Information Security M,16,Security Information Computer (16),False,1.00000000
72945,data/courses/.files/2025/course-72945.yml,1c633e95e7544895f9e4dcb0562919504f22472467f78b4b3bf93495eb87f2ae,Real-Time Systems M,17,Systems Distributed Mobile (17),False,0.58834551
73025,data/courses/.files/2025/course-73025.yml,2ad0118fbb473f33baaaad157a9f6aaabf93de69f32d14e95cbbf225008667f4,Distributed Systems M,17,Systems Distributed Mobile (17),False,1.00000000
73092,data/courses/.files/2025/course-73092.yml,51ec71fbe20319f1a0526290dc5aa436d6c6e18cd218441ee2be28d0327f94f9,Analog Electronic Circuits T-A,12,Electronics T-A Automation (12),False,0.78729722
73110,data/courses/.files/2025/course-73110.yml,c94334bd0c687117ed22442516fff8a0f4fd8e10d9b819fdbf198a90f5c74fd3,Industrial Electronics T-A,9,Electronic Electronics Systems (9),False,0.68155616
73149,data/courses/.files/2025/course-73149.yml,ad044e29741d09ff780553d7b82738e760a90049d55932232cc061442798462b,Logic for Informatics,25,Language Natural Processing (25),False,0.54859977
73273,data/courses/.files/2025/course-73273.yml,64e9f6445c5490c126f864188e7310338e9ef656fa39499856b1d24a557f4263,Informatic Tecnologies for Fashion,0,Basic Informatics Skills (0),False,0.67456049
73302,data/courses/.files/2025/course-73302.yml,5d2b9f3c37d1c09a79395dbb83efbf7828c3a4f3a89fcd4334177bdfbb555a95,Computer Vision And Image Processing M,8,Computer Vision Image (8),False,0.76992109
73435,data/courses/.files/2025/course-73435.yml,563fad31716093fafea59c6c4236a22365d32182671a4e73d31ba8f7ff56b37b,Project Management,10,Engineering Software (10),False,0.54251004
73731,data/courses/.files/2025/course-73731.yml,e96e134b1b140994f7753c387f15a33362d8b69b4dff4c9071560f24b93992f1,Microcontroller-based systems for Industrial Applicatons: Architecture and Programming,13,Systems Embedded Internet (13),False,0.62905829
