course_id,course_title,neighbor_rank,neighbor_course_id,neighbor_title,similarity
04138,Programming Languages,6,81609,"Languages, Compilers and Computational Models",0.75438142
04138,Programming Languages,7,00819-B,Programming,0.75046287
04138,Programming Languages,8,08574-C,Operating Systems,0.74721574
04138,Programming Languages,9,81612,Programming and Development paradigms,0.74642705
04138,Programming Languages,10,40720,Data Mining,0.74367406
07276-A,Computer Science,1,96346-A,Computer Science,1.00000000
07276-A,Computer Science,2,07276-C,Computer Science,0.77226784
07276-A,Computer Science,3,57828,Informatics,0.76591387
07276-A,Computer Science,4,07276-B,Computer Science,0.75348614
07276-A,Computer Science,5,B4826,Informatics for the Humanities,0.74962857
07276-A,Computer Science,6,91254,Image Processing and Computer Vision,0.74950528
07276-A,Computer Science,7,93478,COMPUTER VISION,0.74912119
07276-A,Computer Science,8,28106,Computer Science for Environmental Sciences,0.74004243
07276-A,Computer Science,9,00819-B,Programming,0.73203890
07276-A,Computer Science,10,95627,Software Engineering,0.72963838
07276-B,Computer Science,1,28040,Information Technology,0.88384000
07276-B,Computer Science,2,96346-C,INFORMATICA,0.84547274
07276-B,Computer Science,3,37262,Computer Programming,0.81639976
07276-B,Computer Science,4,00819-A,Programming,0.80161085
07276-B,Computer Science,5,41169,Theoretical Computer Science,0.80079722
07276-B,Computer Science,6,B5782,Algorithms and Data Structures for Computational Biology,0.79833002
07276-B,Computer Science,7,95602,Programming and Computer Architectures,0.79609725
07276-B,Computer Science,8,07276-F,INFORMATICA,0.79410005
07276-B,Computer Science,9,09730-A,Principles of Informatics,0.79306640
07276-B,Computer Science,10,85189,Systems and Algorithms for Data Science,0.79260910
07276-C,Computer Science,1,82202-A,Informatic,0.78726878
07276-C,Computer Science,2,57828,Informatics,0.78003766
07276-C,Computer Science,3,07276-A,Computer Science,0.77226784
07276-C,Computer Science,4,96346-A,Computer Science,0.77226784
07276-C,Computer Science,5,07276-D,Computer Science,0.77144280
07276-C,Computer Science,6,B4826,Informatics for the Humanities,0.76715614
07276-C,Computer Science,7,07276-B,Computer Science,0.76436039
07276-C,Computer Science,8,90749,Computing Education,0.74926974
07276-C,Computer Science,9,78510,Informatics,0.74297263
07276-C,Computer Science,10,90147,Artificial intelligence,0.74258879
07276-D,Computer Science,1,15920,Computer Lab,0.79004494
07276-D,Computer Science,2,57828,Informatics,0.77239637
07276-D,Computer Science,3,07276-C,Computer Science,0.77144280
07276-D,Computer Science,4,07276-B,Computer Science,0.74083718
07276-D,Computer Science,5,B4826,Informatics for the Humanities,0.73699265
07276-D,Computer Science,6,09730-A,Principles of Informatics,0.72885915
07276-D,Computer Science,7,37262,Computer Programming,0.72866973
07276-D,Computer Science,8,95602,Programming and Computer Architectures,0.72682170
07276-D,Computer Science,9,09730-B,Principles of Informatics,0.71958680
07276-D,Computer Science,10,07276-A,Computer Science,0.71893726
07276-E,INFORMATICA,1,B8159,INFORMATICA,0.74251020
07276-E,INFORMATICA,2,78501,SISTEMA DI ELABORAZIONE DELLE INFORMAZIONI --,0.73012573
07276-E,INFORMATICA,3,57828,Informatics,0.72828422
07276-E,INFORMATICA,4,07276-F,INFORMATICA,0.72602974
07276-E,INFORMATICA,5,96346-C,INFORMATICA,0.71772956
07276-E,INFORMATICA,6,B4826,Informatics for the Humanities,0.69992045
07276-E,INFORMATICA,7,07276-A,Computer Science,0.69952418
07276-E,INFORMATICA,8,96346-A,Computer Science,0.69952418
07276-E,INFORMATICA,9,40720,Data Mining,0.69353084
07276-E,INFORMATICA,10,82202-B,Informatic,0.69306763
07276-F,INFORMATICA,1,96346-C,INFORMATICA,0.84332561
07276-F,INFORMATICA,2,28040,Information Technology,0.82796426
07276-F,INFORMATICA,3,07276-B,Computer Science,0.79410005
07276-F,INFORMATICA,4,B8159,INFORMATICA,0.78801572
07276-F,INFORMATICA,5,B4826,Informatics for the Humanities,0.74472350
07276-F,INFORMATICA,6,57828,Informatics,0.74338795
07276-F,INFORMATICA,7,37262,Computer Programming,0.73954414
07276-F,INFORMATICA,8,09730-A,Principles of Informatics,0.73948222
07276-F,INFORMATICA,9,95602,Programming and Computer Architectures,0.73873506
07276-F,INFORMATICA,10,B1703,Introduction to Programming,0.73688089
08574-A,Operating Systems,1,08574-C,Operating Systems,0.79861870
08574-A,Operating Systems,2,08574-B,Operating Systems,0.77737173
08574-A,Operating Systems,3,28020-A,Operating Systems T,0.77428909
08574-A,Operating Systems,4,28020-B,Operating Systems T,0.77428909
08574-A,Operating Systems,5,85728,Real Time OS M,0.74490656
08574-A,Operating Systems,6,96007,Foundations of Computer Architecture and Operating Systems,0.73916768
08574-A,Operating Systems,7,95604,Operating Systems and Networks,0.72442401
08574-A,Operating Systems,8,28024-A,Computer Networks T,0.72334014
08574-A,Operating Systems,9,28024-B,Computer Networks T,0.72334014
08574-A,Operating Systems,10,20741,Information Processing Systems,0.72224855
08574-B,Operating Systems,1,28020-A,Operating Systems T,0.78621904
08574-B,Operating Systems,2,28020-B,Operating Systems T,0.78621904
08574-B,Operating Systems,3,08574-A,Operating Systems,0.77737173
08574-B,Operating Systems,4,73025,Distributed Systems M,0.74757999
08574-B,Operating Systems,5,28024-A,Computer Networks T,0.74495345
08574-B,Operating Systems,6,28024-B,Computer Networks T,0.74495345
08574-B,Operating Systems,7,08574-C,Operating Systems,0.74417544
08574-B,Operating Systems,8,91161,"Networks, Security And Data Bases",0.73487075
08574-B,Operating Systems,9,88324,System Administration T,0.73420774
08574-B,Operating Systems,10,57828,Informatics,0.72486812
08574-C,Operating Systems,1,08574-A,Operating Systems,0.79861870
08574-C,Operating Systems,2,96007,Foundations of Computer Architecture and Operating Systems,0.76263407
08574-C,Operating Systems,3,95604,Operating Systems and Networks,0.76012887
08574-C,Operating Systems,4,00819-A,Programming,0.75775781
08574-C,Operating Systems,5,57828,Informatics,0.75751704
08574-C,Operating Systems,6,07276-B,Computer Science,0.75364225
08574-C,Operating Systems,7,11929-A,Algorithm and Data Structures,0.75169601
08574-C,Operating Systems,8,28020-A,Operating Systems T,0.75102723
08574-C,Operating Systems,9,28020-B,Operating Systems T,0.75102723
08574-C,Operating Systems,10,28024-A,Computer Networks T,0.74954014
09032,Software Engineering,1,95627,Software Engineering,0.81725825
09032,Software Engineering,2,90106-A,Software Engineering,0.80504841
09032,Software Engineering,3,66858,Software Engineering,0.79448940
09032,Software Engineering,4,B1874,Project Management and Software Engineering for Cultural Heritage,0.77565062
09032,Software Engineering,5,B0011,Software Process Engineering,0.77184825
09032,Software Engineering,6,81612,Programming and Development paradigms,0.75934180
09032,Software Engineering,7,28021,Software Engineering T,0.75822618
09032,Software Engineering,8,28024-A,Computer Networks T,0.75657936
09032,Software Engineering,9,28024-B,Computer Networks T,0.75657936
09032,Software Engineering,10,90749,Computing Education,0.75523945
09679,Data Base Sistems,1,70155,Data Bases,0.78020226
09679,Data Base Sistems,2,40720,Data Mining,0.76394465
09679,Data Base Sistems,3,95631-A,Machine Learning and Data Mining,0.76241391
09679,Data Base Sistems,4,28024-A,Computer Networks T,0.73071756
09679,Data Base Sistems,5,28024-B,Computer Networks T,0.73071756
09679,Data Base Sistems,6,91161,"Networks, Security And Data Bases",0.72670751
09679,Data Base Sistems,7,30376,Business Intelligence,0.72347498
09679,Data Base Sistems,8,96793,Information Systems and Database Management,0.72168820
09679,Data Base Sistems,9,20741,Information Processing Systems,0.71994176
09679,Data Base Sistems,10,B8159,INFORMATICA,0.71834199
09730-A,Principles of Informatics,1,15305,Foundations of Informatics A,0.94901442
09730-A,Principles of Informatics,2,09730-B,Principles of Informatics,0.87905047
09730-A,Principles of Informatics,3,16692,Laboratory of Informatics,0.85057845
09730-A,Principles of Informatics,4,28623,Foundations of Informatics and Laboratory,0.82902319
09730-A,Principles of Informatics,5,57828,Informatics,0.80725559
09730-A,Principles of Informatics,6,37262,Computer Programming,0.80608893
09730-A,Principles of Informatics,7,B5782,Algorithms and Data Structures for Computational Biology,0.79711925
09730-A,Principles of Informatics,8,95602,Programming and Computer Architectures,0.79467169
09730-A,Principles of Informatics,9,60348,Informatics,0.79364382
09730-A,Principles of Informatics,10,07276-B,Computer Science,0.79306640
09730-B,Principles of Informatics,1,09730-A,Principles of Informatics,0.87905047
09730-B,Principles of Informatics,2,15305,Foundations of Informatics A,0.82806489
09730-B,Principles of Informatics,3,57828,Informatics,0.79356301
09730-B,Principles of Informatics,4,28623,Foundations of Informatics and Laboratory,0.77804282
09730-B,Principles of Informatics,5,16692,Laboratory of Informatics,0.77776839
09730-B,Principles of Informatics,6,96346-C,INFORMATICA,0.77673611
09730-B,Principles of Informatics,7,95602,Programming and Computer Architectures,0.77669461
09730-B,Principles of Informatics,8,B5782,Algorithms and Data Structures for Computational Biology,0.77668903
09730-B,Principles of Informatics,9,10907,Electronics of Digital Systems,0.77464948
09730-B,Principles of Informatics,10,00819-A,Programming,0.77322442
