course_a,course_b,path_a,path_b,similarity,distance
03716-A,03716-B,data/courses/.files/2025/course-03716-A.yml,data/courses/.files/2025/course-03716-B.yml,1.00000000,0.00000000
07276-A,96346-A,data/courses/.files/2025/course-07276-A.yml,data/courses/.files/2025/course-96346-A.yml,1.00000000,0.00000000
28020-A,28020-B,data/courses/.files/2025/course-28020-A.yml,data/courses/.files/2025/course-28020-B.yml,1.00000000,0.00000000
28024-A,28024-B,data/courses/.files/2025/course-28024-A.yml,data/courses/.files/2025/course-28024-B.yml,1.00000000,0.00000000
28659-A,28659-B,data/courses/.files/2025/course-28659-A.yml,data/courses/.files/2025/course-28659-B.yml,1.00000000,0.00000000
29227-A,29227-B,data/courses/.files/2025/course-29227-A.yml,data/courses/.files/2025/course-29227-B.yml,1.00000000,0.00000000
39176-A,39176-B,data/courses/.files/2025/course-39176-A.yml,data/courses/.files/2025/course-39176-B.yml,1.00000000,0.00000000
81610,88202,data/courses/.files/2025/course-81610.yml,data/courses/.files/2025/course-88202.yml,1.00000000,0.00000000
91250-B,91250-C,data/courses/.files/2025/course-91250-B.yml,data/courses/.files/2025/course-91250-C.yml,1.00000000,0.00000000
91258-A,B0385,data/courses/.files/2025/course-91258-A.yml,data/courses/.files/2025/course-B0385.yml,1.00000000,0.00000000
93034-A,93034-B,data/courses/.files/2025/course-93034-A.yml,data/courses/.files/2025/course-93034-B.yml,1.00000000,0.00000000
96725-A,96725-B,data/courses/.files/2025/course-96725-A.yml,data/courses/.files/2025/course-96725-B.yml,1.00000000,0.00000000
97431,B5796,data/courses/.files/2025/course-97431.yml,data/courses/.files/2025/course-B5796.yml,1.00000000,0.00000000
B8536-A,B8536-B,data/courses/.files/2025/course-B8536-A.yml,data/courses/.files/2025/course-B8536-B.yml,1.00000000,0.00000000
B8536-A,B8536-C,data/courses/.files/2025/course-B8536-A.yml,data/courses/.files/2025/course-B8536-C.yml,1.00000000,0.00000000
B8536-B,B8536-C,data/courses/.files/2025/course-B8536-B.yml,data/courses/.files/2025/course-B8536-C.yml,1.00000000,0.00000000
B8554-A,B8554-B,data/courses/.files/2025/course-B8554-A.yml,data/courses/.files/2025/course-B8554-B.yml,1.00000000,0.00000000
75969-A,75969-B,data/courses/.files/2025/course-75969-A.yml,data/courses/.files/2025/course-75969-B.yml,0.99357655,0.00642345
11929-C,37635,data/courses/.files/2025/course-11929-C.yml,data/courses/.files/2025/course-37635.yml,0.99300487,0.00699513
B5293,B8929,data/courses/.files/2025/course-B5293.yml,data/courses/.files/2025/course-B8929.yml,0.98881372,0.01118628
90074,96994,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-96994.yml,0.98666665,0.01333335
78096,91269,data/courses/.files/2025/course-78096.yml,data/courses/.files/2025/course-91269.yml,0.98430731,0.01569269
85573,90720,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-90720.yml,0.98366306,0.01633694
95631-B,B2125,data/courses/.files/2025/course-95631-B.yml,data/courses/.files/2025/course-B2125.yml,0.98049378,0.01950622
78810,B5665,data/courses/.files/2025/course-78810.yml,data/courses/.files/2025/course-B5665.yml,0.97743032,0.02256968
85189,90477,data/courses/.files/2025/course-85189.yml,data/courses/.files/2025/course-90477.yml,0.97490937,0.02509063
10906-A,95611,data/courses/.files/2025/course-10906-A.yml,data/courses/.files/2025/course-95611.yml,0.97456082,0.02543918
81678-A,81678-B,data/courses/.files/2025/course-81678-A.yml,data/courses/.files/2025/course-81678-B.yml,0.97339385,0.02660615
91248,98931,data/courses/.files/2025/course-91248.yml,data/courses/.files/2025/course-98931.yml,0.97316639,0.02683361
69430,B8561,data/courses/.files/2025/course-69430.yml,data/courses/.files/2025/course-B8561.yml,0.96854331,0.03145669
77933,78096,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-78096.yml,0.96784498,0.03215502
66858,90106-A,data/courses/.files/2025/course-66858.yml,data/courses/.files/2025/course-90106-A.yml,0.96391613,0.03608387
41731-B,75835,data/courses/.files/2025/course-41731-B.yml,data/courses/.files/2025/course-75835.yml,0.96296091,0.03703909
90720,91264,data/courses/.files/2025/course-90720.yml,data/courses/.files/2025/course-91264.yml,0.96191819,0.03808181
90392,B8311,data/courses/.files/2025/course-90392.yml,data/courses/.files/2025/course-B8311.yml,0.95542297,0.04457703
93321,93391,data/courses/.files/2025/course-93321.yml,data/courses/.files/2025/course-93391.yml,0.95482190,0.04517810
28724,73092,data/courses/.files/2025/course-28724.yml,data/courses/.files/2025/course-73092.yml,0.95456128,0.04543872
77933,91269,data/courses/.files/2025/course-77933.yml,data/courses/.files/2025/course-91269.yml,0.95215229,0.04784771
28016-A,28016-B,data/courses/.files/2025/course-28016-A.yml,data/courses/.files/2025/course-28016-B.yml,0.95061377,0.04938623
11929-B,11929-D,data/courses/.files/2025/course-11929-B.yml,data/courses/.files/2025/course-11929-D.yml,0.95026080,0.04973920
29227-C,29227-D,data/courses/.files/2025/course-29227-C.yml,data/courses/.files/2025/course-29227-D.yml,0.94933071,0.05066929
09730-A,15305,data/courses/.files/2025/course-09730-A.yml,data/courses/.files/2025/course-15305.yml,0.94901442,0.05098558
85573,91264,data/courses/.files/2025/course-85573.yml,data/courses/.files/2025/course-91264.yml,0.94541629,0.05458371
39176-A,82202-B,data/courses/.files/2025/course-39176-A.yml,data/courses/.files/2025/course-82202-B.yml,0.94488112,0.05511888
39176-B,82202-B,data/courses/.files/2025/course-39176-B.yml,data/courses/.files/2025/course-82202-B.yml,0.94488112,0.05511888
69661,73302,data/courses/.files/2025/course-69661.yml,data/courses/.files/2025/course-73302.yml,0.94354574,0.05645426
91250-A,91250-B,data/courses/.files/2025/course-91250-A.yml,data/courses/.files/2025/course-91250-B.yml,0.93534470,0.06465530
91250-A,91250-C,data/courses/.files/2025/course-91250-A.yml,data/courses/.files/2025/course-91250-C.yml,0.93534470,0.06465530
70226,95644,data/courses/.files/2025/course-70226.yml,data/courses/.files/2025/course-95644.yml,0.93522547,0.06477453
77780,96859,data/courses/.files/2025/course-77780.yml,data/courses/.files/2025/course-96859.yml,0.93261744,0.06738256
28004-A,28004-B,data/courses/.files/2025/course-28004-A.yml,data/courses/.files/2025/course-28004-B.yml,0.93162000,0.06838000
B0074,B1459,data/courses/.files/2025/course-B0074.yml,data/courses/.files/2025/course-B1459.yml,0.92510737,0.07489263
87898,87901,data/courses/.files/2025/course-87898.yml,data/courses/.files/2025/course-87901.yml,0.92472050,0.07527950
